906.50	911.60	22.050	21.740						
912.11	911.02	22.040	21.730						
917.73	910.43	22.040	21.730						
923.38	909.84	22.030	21.720						
929.07	909.25	22.020	21.710						
934.78	908.65	22.010	21.700						
940.46	908.06	22.000	21.690						
946.09	907.48	21.990	21.680						
951.67	906.90	21.990	21.680						
957.20	906.33	21.990	21.680						
962.69	905.76	21.990	21.670						
968.09	905.20	21.980	21.670						
973.40	904.65	21.980	21.660						
978.65	904.10	21.970	21.660						
983.87	903.56	21.970	21.660						
994.25	902.49	21.960	21.650						
1004.4	901.44	21.950	21.630						
1009.4	900.93	21.940	21.620						
1014.3	900.42	21.930	21.610						
1019.1	899.92	21.920	21.610						
1023.8	899.44	21.910	21.600						
1028.4	898.97	21.890	21.580						
1033.1	898.49	21.880	21.560						
1037.8	898.00	21.860	21.540						
1042.5	897.51	21.850	21.530						
1047.3	897.02	21.850	21.530						
1052.1	896.54	21.850	21.530						
1056.7	896.06	21.840	21.520						
1061.2	895.60	21.830	21.510						
1065.6	895.15	21.820	21.490						
1069.9	894.70	21.800	21.460						
1074.2	894.27	21.780	21.440						
1078.4	893.83	21.770	21.410						
1082.6	893.40	21.750	21.390						
1086.7	892.98	21.720	21.370						
1090.9	892.56	21.700	21.340						
1095.0	892.13	21.670	21.310						
1099.3	891.70	21.630	21.270						
1103.5	891.27	21.600	21.230						
1107.7	890.84	21.580	21.210						
1111.8	890.42	21.560	21.190						
1115.8	890.01	21.540	21.170						
1119.8	889.60	21.520	21.150						
1123.7	889.21	21.490	21.130						
1127.4	888.82	21.460	21.090						
1131.3	888.44	21.420	21.060						
1135.1	888.04	21.390	21.030						
1139.1	887.64	21.370	21.000						
1143.0	887.24	21.350	20.980						
1146.9	886.84	21.350	20.980						
1150.7	886.46	21.350	20.980						
1154.4	886.08	21.360	20.980						
1158.0	885.71	21.360	20.980						
1161.6	885.34	21.370	20.980						
1165.4	884.96	21.360	20.980						
1169.1	884.58	21.360	20.970						
1172.7	884.22	21.360	20.970						
1176.0	883.88	21.370	20.980						
1179.3	883.55	21.380	21.000						
1182.6	883.22	21.400	21.020						
1185.8	882.89	21.410	21.030						
1188.9	882.57	21.410	21.040						
1192.0	882.26	21.400	21.040						
1194.9	881.97	21.380	21.020						
1197.8	881.68	21.340	20.980						
1200.5	881.40	21.280	20.930						
1203.4	881.11	21.210	20.850						
1206.3	880.81	21.120	20.760						
1209.4	880.50	21.060	20.680						
